Position,Name,ID,Name+ID,Team,Game,Avg FPPG,Salary
RB,Roc Thomas,1653362,Roc Thomas (1653362),Jaguars,JAX @ CAR,0,"$6,000.00 "
RB,Roosevelt Nix,1653385,Roosevelt Nix (1653385),Steelers,BAL @ PIT,0,"$6,000.00 "
RB,Spencer Ware,1653348,Spencer Ware (1653348),Colts,IND @ KC,0,"$6,000.00 "
RB,T.J. Logan,1653383,T.J. Logan (1653383),Buccaneers,TB @ NO,0,"$6,000.00 "
RB,Taiwan Jones,1653320,Taiwan Jones (1653320),Texans,ATL @ HOU,0,"$6,000.00 "
RB,Trayveon Williams,1653423,Trayveon Williams (1653423),Bengals,ARI @ CIN,0,"$6,000.00 "
RB,Tremon Smith,1653438,Tremon Smith (1653438),Chiefs,IND @ KC,0,"$6,000.00 "
RB,Trenton Cannon,1653374,Trenton Cannon (1653374),Jets,NYJ @ PHI,0,"$6,000.00 "
RB,Tyler Ervin,1653409,Tyler Ervin (1653409),Jaguars,JAX @ CAR,0,"$6,000.00 "
RB,Corey Clement,1653377,Corey Clement (1653377),Eagles,NYJ @ PHI,-0.33,"$6,000.00 "
WR,DeAndre Hopkins,1653574,DeAndre Hopkins (1653574),Texans,ATL @ HOU,15.97,"$14,700.00 "
WR,Julio Jones,1653442,Julio Jones (1653442),Falcons,ATL @ HOU,21.2,"$14,600.00 "
WR,Davante Adams,1653472,Davante Adams (1653472),Packers,GB @ DAL,17.2,"$14,300.00 "
WR,Keenan Allen,1653540,Keenan Allen (1653540),Chargers,DEN @ LAC,25.87,"$13,700.00 "
WR,Tyreek Hill,1653496,Tyreek Hill (1653496),Chiefs,IND @ KC,4.1,"$13,100.00 "
WR,Chris Godwin,1653547,Chris Godwin (1653547),Buccaneers,TB @ NO,23.65,"$13,000.00 "
WR,T.Y. Hilton,1653485,T.Y. Hilton (1653485),Colts,IND @ KC,21.16,"$12,900.00 "
WR,Mike Evans,1653546,Mike Evans (1653546),Buccaneers,TB @ NO,20.45,"$12,800.00 "
WR,Amari Cooper,1653463,Amari Cooper (1653463),Cowboys,GB @ DAL,19.15,"$12,700.00 "
WR,A.J. Green,1653457,A.J. Green (1653457),Bengals,ARI @ CIN,0,"$12,600.00 "
WR,Michael Thomas,1653519,Michael Thomas (1653519),Saints,TB @ NO,19.77,"$12,100.00 "
WR,Adam Thielen,1653507,Adam Thielen (1653507),Vikings,MIN @ NYG,12.25,"$12,100.00 "
WR,JuJu Smith-Schuster,1653536,JuJu Smith-Schuster (1653536),Steelers,BAL @ PIT,14.76,"$12,000.00 "
WR,Julian Edelman,1653512,Julian Edelman (1653512),Patriots,NE @ WAS,12.94,"$12,000.00 "
WR,Stefon Diggs,1653506,Stefon Diggs (1653506),Vikings,MIN @ NYG,10.22,"$12,000.00 "
WR,Sammy Watkins,1653501,Sammy Watkins (1653501),Chiefs,IND @ KC,19.87,"$11,900.00 "
WR,Tyler Boyd,1653454,Tyler Boyd (1653454),Bengals,ARI @ CIN,17.43,"$11,700.00 "
WR,Larry Fitzgerald,1653530,Larry Fitzgerald (1653530),Cardinals,ARI @ CIN,17.75,"$11,300.00 "
WR,Alshon Jeffery,1653528,Alshon Jeffery (1653528),Eagles,NYJ @ PHI,11.63,"$11,000.00 "
WR,Josh Gordon,1653579,Josh Gordon (1653579),Patriots,NE @ WAS,10.55,"$11,000.00 "
WR,Sterling Shepard,1653522,Sterling Shepard (1653522),Giants,MIN @ NYG,19.06,"$10,900.00 "
WR,Marquise Brown,1653580,Marquise Brown (1653580),Ravens,BAL @ PIT,15.85,"$10,600.00 "
WR,Terry McLaurin,1653588,Terry McLaurin (1653588),Redskins,NE @ WAS,20.9,"$10,500.00 "
WR,Allen Robinson II,1653452,Allen Robinson II (1653452),Bears,CHI @ OAK,13.75,"$10,500.00 "
WR,Dede Westbrook,1653566,Dede Westbrook (1653566),Jaguars,JAX @ CAR,9.27,"$10,500.00 "
WR,DeSean Jackson,1653549,DeSean Jackson (1653549),Eagles,NYJ @ PHI,19.2,"$10,400.00 "
WR,John Ross III,1653458,John Ross III (1653458),Bengals,ARI @ CIN,21.73,"$10,200.00 "
WR,Tyrell Williams,1653545,Tyrell Williams (1653545),Raiders,CHI @ OAK,16.4,"$10,200.00 "
WR,DJ Moore,1653558,DJ Moore (1653558),Panthers,JAX @ CAR,13.07,"$10,200.00 "
WR,John Brown,1653567,John Brown (1653567),Bills,BUF @ TEN,15.97,"$10,100.00 "
WR,Marquez Valdes-Scantling,1653478,Marquez Valdes-Scantling (1653478),Packers,GB @ DAL,10.92,"$9,900.00 "
WR,Geronimo Allison,1653473,Geronimo Allison (1653473),Packers,GB @ DAL,6.82,"$9,900.00 "
WR,DJ Chark Jr.,1653562,DJ Chark Jr. (1653562),Jaguars,JAX @ CAR,18.02,"$9,800.00 "
WR,Courtland Sutton,1653470,Courtland Sutton (1653470),Broncos,DEN @ LAC,16.97,"$9,800.00 "
