"QB","RB","RB","WR","WR","WR","TE","FLEX","DEF","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","38746-39829:Mike Williams","38746-39829","WR","Mike","Mike Williams","Williams","6.566666920979817","3","6100","LAC@MIA","LAC","MIA","","","","",""
"","","","","","","","","","","38746-72731:Josh Jacobs","38746-72731","RB","Josh","Josh Jacobs","Jacobs","12.699999491373697","3","6000","OAK@IND","OAK","IND","","","","",""
"","","","","","","","","","","38746-24607:Chad Kelly","38746-24607","QB","Chad","Chad Kelly","Kelly","-0.10000000149011612","1","6000","OAK@IND","IND","OAK","","","","",""
"","","","","","","","","","","38746-14377:Tyrod Taylor","38746-14377","QB","Tyrod","Tyrod Taylor","Taylor","0","1","6000","LAC@MIA","LAC","MIA","","","","",""
"","","","","","","","","","","38746-30788:Tyler Bray","38746-30788","QB","Tyler","Tyler Bray","Bray","0","0","6000","MIN@CHI","CHI","MIN","","","","",""
"","","","","","","","","","","38746-52342:Will Grier","38746-52342","QB","Will","Will Grier","Grier","0","0","6000","CAR@HOU","CAR","HOU","","","","",""
"","","","","","","","","","","38746-63611:Kyle Shurmur","38746-63611","QB","Kyle","Kyle Shurmur","Shurmur","0","0","6000","KC@DET","KC","DET","","","","",""
"","","","","","","","","","","38746-57537:DeShone Kizer","38746-57537","QB","DeShone","DeShone Kizer","Kizer","2.4600000381469727","3","6000","OAK@IND","OAK","IND","","","","",""
"","","","","","","","","","","38746-45259:Logan Woodside","38746-45259","QB","Logan","Logan Woodside","Woodside","0","0","6000","TEN@ATL","TEN","ATL","","","","",""
"","","","","","","","","","","38746-29915:Brett Hundley","38746-29915","QB","Brett","Brett Hundley","Hundley","0","0","6000","SEA@ARI","ARI","SEA","","","","",""
"","","","","","","","","","","38746-54507:Alex McGough","38746-54507","QB","Alex","Alex McGough","McGough","0","0","6000","CAR@HOU","HOU","CAR","","","","",""
"","","","","","","","","","","38746-11500:Colt McCoy","38746-11500","QB","Colt","Colt McCoy","McCoy","10.06000010172526","3","6000","WAS@NYG","WAS","NYG","O","Lower leg","","",""
"","","","","","","","","","","38746-31047:AJ McCarron","38746-31047","QB","AJ","AJ McCarron","McCarron","0.05999999865889549","2","6000","CAR@HOU","HOU","CAR","","","","",""
"","","","","","","","","","","38746-27982:Jake Rudock","38746-27982","QB","Jake","Jake Rudock","Rudock","0","0","6000","LAC@MIA","MIA","LAC","","","","",""
"","","","","","","","","","","38746-53604:Nick Fitzgerald","38746-53604","QB","Nick","Nick Fitzgerald","Fitzgerald","0","0","6000","TB@LAR","TB","LAR","","","","",""
"","","","","","","","","","","38746-52606:David Blough","38746-52606","QB","David","David Blough","Blough","0","0","6000","KC@DET","DET","KC","","","","",""
"","","","","","","","","","","38746-103824:Easton Stick","38746-103824","QB","Easton","Easton Stick","Stick","0","0","6000","LAC@MIA","LAC","MIA","","","","",""
"","","","","","","","","","","38746-32158:Garrett Gilbert","38746-32158","QB","Garrett","Garrett Gilbert","Gilbert","1.600000023841858","1","6000","CLE@BAL","CLE","BAL","","","","",""
"","","","","","","","","","","38746-60840:Jake Browning","38746-60840","QB","Jake","Jake Browning","Browning","0","0","6000","MIN@CHI","MIN","CHI","","","","",""
"","","","","","","","","","","38746-21941:Robert Griffin III","38746-21941","QB","Robert","Robert Griffin III","Griffin III","7.099999904632568","1","6000","CLE@BAL","BAL","CLE","","","","",""
"","","","","","","","","","","38746-21948:Ryan Tannehill","38746-21948","QB","Ryan","Ryan Tannehill","Tannehill","-0.20000000298023224","1","6000","TEN@ATL","TEN","ATL","","","","",""
"","","","","","","","","","","38746-31170:Brandon Allen","38746-31170","QB","Brandon","Brandon Allen","Allen","0","0","6000","JAC@DEN","DEN","JAC","","","","",""
"","","","","","","","","","","38746-40407:Josh Dobbs","38746-40407","QB","Josh","Josh Dobbs","Dobbs","0.36400001049041747","5","6000","JAC@DEN","JAC","DEN","","","","",""
"","","","","","","","","","","38746-73183:Dwayne Haskins Jr.","38746-73183","QB","Dwayne","Dwayne Haskins Jr.","Haskins Jr.","0","0","6000","WAS@NYG","WAS","NYG","","","","",""
"","","","","","","","","","","38746-7659:Ryan Fitzpatrick","38746-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick","4.506666819254558","3","6000","LAC@MIA","MIA","LAC","","","","",""
